alias,menu_item_id
Buttermilk Stack,1
Copperwick Breakfast,2
Shakshuka Skillet,3
Brioche French Toast,4
Short Rib Hash,5
Green Goddess Omelette,6
Avocado Toast,7
Crispy Brussels & Hot Honey,8
Za'atar Fries,9
Deviled Eggs & Dukkah,10
Smoked Trout Dip,11
Chili-Maple Wings,12
Cornbread Skillet,13
Kale Caesar,14
Chopped Farm Salad,15
Harvest Grain Bowl,16
Charred Broccoli Bowl,17
Steak & Greens Salad,18
Copperwick Smash Burger,19
Crispy Chicken Sandwich,20
Turkey Club on Sourdough,21
Mushroom Reuben,22
BLT&E,23
Short Rib French Dip,24
Harissa Half Chicken,25
Hanger Steak Frites,26
Smoked Short Rib Plate,27
"Roasted Salmon, Charred Lemon",28
Fish & Chips,29
Chicken Pot Pie,30
Mac & Greens,31
Skillet Potatoes,32
Street Corn,33
Garlicky Green Beans,34
Sourdough & Cultured Butter,35
Salted Honey Pie,36
Warm Chocolate Pudding Cake,37
Soft-Serve Sundae,38
Seasonal Fruit Crisp,39
Quillbrook Drip Coffee,40
Iced Maple Latte,41
Fresh Lemonade,42
House-Brewed Iced Tea,43
Draft Lager,44
House Wine (glass),45
Garden Gimlet,46
B-Milk Stack,1
Buttermlk Pancakes,1
PANCAKE STACK,1
Shakshouka,3
Shak Shuka Skillet,3
SHAKSHUKA,3
Frnch Toast,4
FR TOAST,4
French Tst Brioche,4
Avo Toast,7
avacado toast,7
AVOCADO TST,7
Zaatar Fries,9
Za atar Fries,9
ZATAR FRY,9
Kale Ceasar,14
KALE CAESAR,14
Ceasar-Kale,14
Smash Burger,19
SMASHBURGER,19
Cpwk Smash Brgr,19
Harrisa Chicken,25
Har. 1/2 Chicken,25
HARISSA CHIX,25
Kale Caesar Sm,14
KALE CSR,14
Smash Brgr GCX,19
SMASH BURGER.,19
